,C1,C2,C3,C4,C5,C6,C7,C8,Timestamp,effort
0,172495.625,-16886.330078125,200873.203125,188091.96875,179837.921875,157221.484375,172901.453125,205096.40625,1106530.4031891,2.0
1,172504.875,-16903.59375,200863.953125,188080.625,179839.96875,157228.671875,172908.046875,205104.46875,1106546.4051891002,2.0
2,172504.875,-16900.970703125,200869.828125,188084.484375,179827.421875,157230.4375,172899.984375,205099.328125,1106552.4071891,2.0
3,172494.234375,-16878.892578125,200887.421875,188101.03125,179807.015625,157225.671875,172880.484375,205080.203125,1106564.4091891001,2.0
4,172478.03125,-16841.74609375,200913.21875,188126.875,179780.84375,157215.75,172855.921875,205053.78125,1106573.4111891,2.0
5,172463.390625,-16800.787109375,200941.6875,188154.4375,179762.28125,157205.265625,172833.265625,205030.65625,1106579.4131891,2.0
6,172444.453125,-16778.66015625,200952.359375,188168.171875,179743.453125,157190.296875,172812.484375,205007.90625,1106588.4151891,2.0
7,172434.96875,-16773.98828125,200955.21875,188171.359375,179739.0625,157183.46875,172807.515625,205004.671875,1106594.4171891,2.0
8,172439.40625,-16799.78515625,200936.296875,188153.8125,179749.40625,157181.5625,172819.203125,205020.78125,1106599.4191891002,2.0
9,172452.375,-16844.03515625,200904.875,188124.828125,179776.828125,157188.0,172847.046875,205050.640625,1106603.4211891,2.0
10,172455.046875,-16884.185546875,200874.921875,188095.734375,179788.5625,157190.25,172857.96875,205060.84375,1106607.4231891,2.0
11,172460.234375,-16909.314453125,200858.046875,188075.703125,179796.953125,157195.015625,172864.5,205065.984375,1106612.4251891,2.0
12,172464.921875,-16907.884765625,200862.0,188077.609375,179802.34375,157201.6875,172867.5625,205068.1875,1106616.4271891,2.0
13,172459.4375,-16887.380859375,200876.15625,188092.546875,179791.65625,157199.3125,172854.484375,205053.015625,1106621.4291891002,2.0
14,172450.46875,-16850.330078125,200901.859375,188118.390625,179770.390625,157192.53125,172832.40625,205028.265625,1106630.4311891,2.0
15,172433.78125,-16813.375,200924.9375,188141.65625,179741.21875,157176.65625,172803.375,204999.90625,1106635.4331891001,2.0
16,172432.828125,-16778.08984375,200950.03125,188167.40625,179734.96875,157174.265625,172794.890625,204993.21875,1106640.4351891,2.0
17,172440.5,-16769.982421875,200957.125,188176.03125,179745.03125,157177.375,172802.65625,205002.46875,1106647.4371891,2.0
18,172453.421875,-16795.875,200939.109375,188159.015625,179764.71875,157182.515625,172823.359375,205026.796875,1106658.4391891002,2.0
19,172469.296875,-16841.22265625,200910.5,188130.265625,179791.859375,157192.15625,172853.25,205059.265625,1106663.4411891,2.0
20,172484.28125,-16880.228515625,200883.796875,188102.359375,179815.796875,157203.265625,172878.71875,205084.921875,1106668.4431891001,2.0
21,172498.625,-16897.6328125,200874.15625,188090.734375,179831.625,157217.328125,172895.40625,205100.984375,1106676.4451891,2.0
22,172501.296875,-16896.10546875,200879.171875,188094.453125,179832.140625,157223.953125,172892.96875,205097.359375,1106681.4471891,2.0
23,172483.65625,-16885.044921875,200885.359375,188099.21875,179806.4375,157211.375,172864.125,205067.03125,1106688.4491891002,2.0
24,172469.390625,-16849.376953125,200910.265625,188124.296875,179780.59375,157202.125,172837.09375,205038.625,1106694.4511891,2.0
25,172450.09375,-16809.41796875,200937.109375,188150.578125,179749.125,157185.953125,172806.28125,205007.34375,1106699.4531891001,2.0
26,172429.015625,-16782.5703125,200952.59375,188166.5,179732.8125,157173.9375,172787.25,204989.359375,1106704.4551891,2.0
27,172423.90625,-16773.75,200958.75,188175.65625,179741.453125,157176.46875,172792.359375,204994.9375,1106710.4571891,2.0
28,172431.0625,-16794.4453125,200943.453125,188162.96875,179762.4375,157183.625,172812.140625,205014.59375,1106715.4591891002,2.0
29,172449.65625,-16835.78515625,200915.40625,188136.9375,179794.046875,157196.96875,172844.0,205046.578125,1106721.4611891,2.0
30,172458.90625,-16876.318359375,200886.890625,188108.75,179816.5,157207.078125,172867.078125,205069.140625,1106728.4631891001,2.0
31,172468.34375,-16896.05859375,200874.203125,188094.78125,179828.046875,157216.515625,172880.0,205081.875,1106734.4651891,2.0
32,172473.875,-16896.822265625,200874.640625,188092.828125,179827.609375,157222.578125,172880.4375,205082.625,1106739.4671891,2.0
33,172471.5,-16874.6953125,200892.28125,188109.328125,179817.265625,157224.71875,172871.1875,205072.375,1106745.4691891,2.0
34,172464.015625,-16836.216796875,200920.84375,188138.984375,179797.140625,157221.765625,172853.78125,205054.734375,1106750.4711891,2.0
35,172456.28125,-16792.5859375,200949.984375,188168.59375,179775.921875,157213.28125,172834.171875,205036.46875,1106755.4731891002,2.0
36,172448.125,-16768.408203125,200963.65625,188182.5625,179760.28125,157202.5,172820.828125,205025.75,1106761.4751891,2.0
37,172450.984375,-16771.794921875,200960.234375,188179.328125,179764.34375,157199.96875,172828.984375,205033.796875,1106766.4771891,2.0
38,172463.96875,-16800.69140625,200939.921875,188160.578125,179788.09375,157206.984375,172853.828125,205061.75,1106771.4791891,2.0
39,172482.65625,-16844.703125,200909.96875,188132.40625,179821.46875,157220.671875,172885.25,205095.65625,1106776.4811891,2.0
40,172504.59375,-16881.134765625,200886.078125,188108.1875,179848.734375,157236.015625,172912.90625,205124.78125,1106782.4831891002,2.0
41,172520.328125,-16903.068359375,200872.734375,188094.40625,179861.90625,157249.375,172927.640625,205140.046875,1106787.4851891,2.0
42,172525.28125,-16907.216796875,200874.25,188092.390625,179861.90625,157253.671875,172926.59375,205139.859375,1106793.4871891001,2.0
43,172521.75,-16881.0859375,200894.671875,188112.65625,179849.9375,157254.625,172912.671875,205126.265625,1106797.4891891,2.0
44,172504.109375,-16842.939453125,200922.125,188138.796875,179820.03125,157246.609375,172885.71875,205097.890625,1106802.4911891,2.0
45,172479.5,-16798.068359375,200951.890625,188169.171875,179788.09375,157232.25,172854.34375,205066.1875,1106809.4931891002,2.0
46,172460.046875,-16766.59765625,200972.25,188190.859375,179767.8125,157220.90625,172834.21875,205045.4375,1106814.4951891,2.0
47,172453.09375,-16764.451171875,200971.90625,188192.109375,179768.109375,157213.890625,172834.796875,205044.96875,1106820.4971891001,2.0
48,172454.765625,-16795.923828125,200947.109375,188169.171875,179786.078125,157211.984375,172850.34375,205062.125,1106827.4991891,2.0
49,172471.109375,-16843.607421875,200912.921875,188137.265625,179819.609375,157222.484375,172879.53125,205093.359375,1106834.5011891,2.0
50,172501.296875,-16877.318359375,200892.65625,188116.140625,179855.171875,157242.359375,172915.578125,205129.984375,1106839.5031891002,2.0
51,172513.40625,-16894.533203125,200884.65625,188104.515625,179865.421875,157254.09375,172927.78125,205142.5625,1106846.5051891,2.0
52,172510.21875,-16897.44140625,200884.609375,188103.5,179857.984375,157254.671875,172919.203125,205133.84375,1106852.5071891001,2.0
53,172504.25,-16874.36328125,200900.34375,188118.90625,179838.96875,157251.375,172900.265625,205113.0,1106866.5091891,2.0
54,172491.71875,-16837.025390625,200927.09375,188146.234375,179814.546875,157243.171875,172872.609375,205084.015625,1106873.5111891,2.0
55,172486.421875,-16798.068359375,200953.453125,188172.359375,179798.046875,157235.59375,172853.484375,205065.421875,1106884.5131891,2.0
56,172476.640625,-16770.36328125,200969.859375,188190.4375,179781.265625,157223.34375,172838.421875,205049.96875,1106890.5151891,2.0
57,172466.625,-16763.974609375,200972.109375,188194.296875,179775.15625,157215.5625,172833.609375,205044.8125,1106899.5171891002,2.0
58,172475.453125,-16784.716796875,200958.796875,188182.515625,179793.609375,157221.390625,172851.203125,205065.28125,1106911.5191891,2.0
59,172490.765625,-16837.265625,200920.796875,188144.421875,179818.65625,157223.484375,172873.046875,205089.640625,1106926.5211891,2.0
60,172511.734375,-16882.421875,200890.75,188113.1875,179843.828125,157232.734375,172898.78125,205115.53125,1106932.5231891,2.0
61,172521.421875,-16905.404296875,200878.59375,188099.125,179856.5625,157242.84375,172911.71875,205129.171875,1106937.5251891,2.0
62,172533.4375,-16897.107421875,200889.328125,188107.5625,179863.375,157256.28125,172919.0,205137.5625,1106944.5271891002,2.0
63,172525.234375,-16877.271484375,200905.96875,188121.390625,179845.640625,157255.328125,172902.03125,205118.109375,1106948.5291891,2.0
64,172516.984375,-16838.50390625,200935.34375,188149.375,179822.984375,157249.84375,172878.234375,205092.84375,1106954.5311891001,2.0
65,172506.5,-16787.005859375,200973.015625,188188.0,179801.0625,157243.46875,172854.59375,205066.984375,1106962.5331891,2.0
66,172487.703125,-16756.154296875,200992.328125,188209.40625,179776.828125,157227.96875,172829.890625,205043.625,1106967.5351891,2.0
67,172472.0625,-16756.91796875,200986.890625,188206.453125,179772.875,157216.703125,172822.0625,205035.515625,1106974.5371891002,2.0
68,172484.65625,-16784.287109375,200967.234375,188186.421875,179798.90625,157222.09375,172846.53125,205059.984375,1106978.5391891,2.0
69,172510.125,-16825.630859375,200941.15625,188161.015625,179838.578125,157238.3125,172885.8125,205099.890625,1106984.5411891001,2.0
70,172527.28125,-16867.162109375,200913.265625,188133.125,179861.953125,157249.046875,172909.65625,205124.40625,1106990.5431891,2.0
71,172538.4375,-16894.533203125,200895.859375,188113.71875,179867.578125,157253.515625,172919.296875,205133.125,1107000.5451891,2.0
72,172547.734375,-16889.431640625,200903.671875,188119.765625,179871.0625,157265.203125,172922.25,205133.84375,1107008.5471891002,2.0
73,172535.671875,-16867.2109375,200921.265625,188135.359375,179853.515625,157262.578125,172903.890625,205113.625,1107016.5491891,2.0
74,172519.078125,-16825.009765625,200951.21875,188166.0625,179827.140625,157257.0,172877.8125,205084.015625,1107024.5511891001,2.0
75,172495.1875,-16785.05078125,200976.828125,188192.71875,179796.484375,157241.40625,172842.046875,205050.921875,1107029.5531891,2.0
76,172484.03125,-16751.482421875,200999.953125,188216.5625,179784.359375,157234.40625,172829.359375,205039.8125,1107035.5551891,2.0
77,172477.078125,-16747.857421875,201000.28125,188217.234375,179785.3125,157226.34375,172830.609375,205041.953125,1107040.5571891002,2.0
