user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
1,attention,2,120,0.5229306221008301,5,683,0.3159176918418033,0.3098204148396939,0.21095514210553246,0.2772410031610175,0.19764450413278098,0.3159176918418033
1,interest,2,120,0.39230823516845703,5,683,0.4471612698226335,0.399524413853877,0.4008297357322288,0.32912292497871803,0.29224273571743803,0.4471612698226335
1,effort,2,120,0.658890962600708,5,683,0.2843489816832799,0.22789790275425276,0.19773073680844044,0.20855283364746874,0.16579607658962597,0.2843489816832799
2,attention,2,120,0.960136890411377,4,1262,0.3201008168724862,0.32776394401384396,0.3275800792285341,0.32776394401384396,0.2889120108377351,0.3201008168724862
2,interest,2,120,0.7268307209014893,5,1262,0.33503807454865825,0.32484219583921314,0.3094398712339116,0.32484219583921314,0.2904728235927029,0.3350380745486583
2,effort,2,120,0.9433677196502686,5,1262,0.2369332472865063,0.2463979017297529,0.16174129782273233,0.2463979017297529,0.16409201647544908,0.2369332472865063
3,attention,2,120,0.8754086494445801,5,1174,0.22753126337675045,0.19685382917778316,0.18058544411425104,0.19685382917778316,0.15614054177217235,0.22753126337675045
3,interest,2,120,0.8896234035491943,5,1174,0.2585299795272019,0.25006861940825376,0.1797747682906929,0.22939450713058218,0.18113735367660067,0.25852997952720197
3,effort,2,120,1.112872838973999,5,1174,0.24977780580525488,0.20947431429791474,0.1776301252994674,0.20947431429791474,0.15419424325235237,0.24977780580525488
6,attention,2,120,1.3163032531738281,3,1391,0.4412578469841687,0.32519223540243875,0.3314753424164546,0.32519223540243875,0.2555166768273728,0.4412578469841687
6,interest,2,120,1.3149590492248535,3,1391,0.4413118178181087,0.340257935196926,0.35412678023943966,0.340257935196926,0.320820006009498,0.4413118178181087
6,effort,2,120,1.3143370151519775,5,1391,0.30832580621225203,0.28572841575949537,0.2595531835160826,0.28572841575949537,0.2356271761783415,0.30832580621225203
7,attention,2,120,1.0694434642791748,4,1416,0.4754471893058849,0.44694138687096197,0.4405747476592673,0.44694138687096197,0.3438062505677018,0.4754471893058849
7,interest,2,120,1.0698189735412598,4,1416,0.49109058592754246,0.41062483909281855,0.3991534676395494,0.41062483909281855,0.39830875769261465,0.49109058592754246
7,effort,2,120,1.3395662307739258,4,1416,0.4538998952652378,0.33027120958603057,0.2383266847161925,0.2989115966331469,0.24632574115702105,0.4538998952652378
8,attention,2,120,1.03456711769104,5,1818,0.27063054685336363,0.19258350865836996,0.16463211049110668,0.19258350865836996,0.14220139393048656,0.27063054685336363
8,interest,2,120,1.0137834548950195,5,1818,0.24438507885699265,0.18887995990129802,0.14839290572344707,0.17600299877442938,0.13965904930649436,0.24438507885699265
8,effort,2,120,1.724595308303833,5,1818,0.1827707927056593,0.16976786152775747,0.14311220396472035,0.16725422701412296,0.11879218544799545,0.1827707927056593
9,attention,2,120,2.091672897338867,5,2066,0.2730108025901611,0.2418107136943326,0.2160665212486375,0.2418107136943326,0.19033456100229423,0.2730108025901611
9,interest,2,120,1.9492249488830566,5,2066,0.25087991963019957,0.25905349125519816,0.21263632161542648,0.25905349125519816,0.19928261620549623,0.25087991963019957
9,effort,2,120,1.5735642910003662,5,2066,0.3681014143659316,0.237680542965992,0.157330697573829,0.237680542965992,0.16255172556161485,0.3681014143659316
10,attention,2,120,0.23422622680664062,4,288,0.33566842120494894,0.3655586311836312,0.2823494584241397,0.2712764665889666,0.201198198585037,0.33566842120494894
10,interest,2,120,0.23412418365478516,4,288,0.3230895686643817,0.22796713931925278,0.3017478813559322,0.18095013023067108,0.17380214598010577,0.3230895686643817
10,effort,2,120,0.23544812202453613,4,288,0.24343185550082103,0.2693903318903319,0.17784411915767848,0.19683441558441556,0.1434888816222164,0.24343185550082103
11,attention,2,120,0.5262041091918945,5,669,0.3026693981124361,0.3038367507333024,0.2401755903589996,0.20399298275160344,0.1514614889315482,0.3026693981124361
11,interest,2,120,0.38950562477111816,5,669,0.4020964267799711,0.43670977419448187,0.24611199635654846,0.2795612570520816,0.2403418192331143,0.4020964267799711
11,effort,2,120,0.38149118423461914,5,669,0.3486838806400816,0.2519708249879293,0.1997204419617317,0.20749362855789574,0.18411271863850512,0.3486838806400816
12,attention,2,120,0.11571216583251953,2,86,0.5225187969924812,0.41034482758620694,0.325187969924812,0.3603448275862069,0.31839793281653744,0.5225187969924812
12,interest,2,120,0.07662367820739746,4,86,0.2982456140350877,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.2982456140350877
12,effort,2,120,0.06735873222351074,4,86,0.047619047619047616,0.047619047619047616,0.1111111111111111,0.015873015873015872,0.027777777777777776,0.047619047619047616
17,attention,2,120,0.8097078800201416,3,858,0.40508527221605173,0.2790859692093831,0.2549182049330427,0.2790859692093831,0.26513665843989287,0.40508527221605173
17,interest,2,120,0.8100945949554443,3,858,0.4949953169595062,0.400062465608005,0.37543625097244665,0.400062465608005,0.3771961397346658,0.4949953169595062
17,effort,2,120,0.8103713989257812,3,858,0.4803537218633586,0.40867470008171003,0.42010111584334375,0.3851452883170042,0.30469382492855085,0.4803537218633586
18,attention,2,120,0.5671958923339844,5,1434,0.2837584102644344,0.2501048202220077,0.2474898798536222,0.17175374034749036,0.1600198866963261,0.2837584102644344
18,interest,2,120,0.8218848705291748,5,1434,0.3142864498286185,0.2379205685210889,0.20209255854062458,0.20539662736666608,0.18025335384253027,0.3142864498286185
18,effort,2,120,1.3628571033477783,3,1434,0.4975232363757261,0.3759290599949938,0.35530025356206757,0.32305436286796024,0.2700530032228913,0.4975232363757261
19,attention,2,120,0.31150126457214355,4,382,0.6341269841269841,0.47522865853658536,0.3321690625935909,0.4366107723577235,0.34784121153993164,0.6341269841269841
19,interest,2,120,0.16129779815673828,5,382,0.6382275132275133,0.5792349726775956,0.298374613003096,0.4959016393442623,0.35411211129296233,0.6382275132275133
19,effort,2,120,0.3812599182128906,3,382,0.5746379241098714,0.3602912145001154,0.27408330992740365,0.3234856589445599,0.2575520338832458,0.5746379241098714
20,attention,2,120,0.661348819732666,5,1152,0.3248798062310966,0.21024054207334053,0.19526455112635235,0.21024054207334053,0.18276009993763798,0.3248798062310966
20,interest,2,120,0.425736665725708,5,1152,0.27653349475383376,0.24628611325706018,0.16234806836923385,0.2157877472439883,0.1428389302483784,0.2765334947538337
20,effort,2,120,0.8566439151763916,5,1152,0.2244774599841464,0.20451715646288363,0.22387682453466895,0.20451715646288363,0.17181903410130467,0.2244774599841464
22,attention,2,120,1.05790114402771,4,1118,0.43269270969812246,0.32110618379587785,0.2935789226372738,0.2816954813933287,0.24364144765037282,0.43269270969812246
22,interest,2,120,0.8432133197784424,5,1118,0.36478170284356093,0.2898875951383989,0.20624513908936654,0.2898875951383989,0.20427452925579534,0.36478170284356093
