model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,87.39825487136841,5,10867,20,0.001,False,multi,0.41383520495888815,0.2754116456389591,0.20109290505148758,0.25176299699031046,0.17992455193657425,0.41383520495888815
Hybrid,1,interest,100,120,49.40289497375488,5,10867,20,0.001,False,multi,0.39781842153519265,0.32159944017096836,0.14103659894813064,0.2825643144277432,0.17791715058243496,0.39781842153519265
Hybrid,1,effort,100,120,62.1662015914917,5,10867,20,0.001,False,multi,0.3245290146731723,0.2551166784389084,0.2291731130145353,0.2551166784389084,0.19658017801972488,0.32452901467317236
Hybrid,2,attention,100,120,101.56343531608582,4,21516,20,0.001,False,multi,0.20852072935356258,0.33638387246357554,0.28495869242792904,0.33638387246357554,0.1952993428992395,0.20852072935356258
Hybrid,2,interest,100,120,127.33186411857605,5,21516,20,0.001,False,multi,0.3153482407900154,0.2979638027187037,0.20882331342790642,0.28036322800606006,0.19141816078665846,0.3153482407900154
Hybrid,2,effort,100,120,115.15624356269836,5,21516,20,0.001,False,multi,0.29594856805089675,0.23675985962774915,0.10980605061699185,0.22425985962774914,0.12194625396342226,0.29594856805089675
Hybrid,3,attention,100,120,138.91315531730652,5,21048,20,0.001,False,multi,0.31927768095558406,0.23038653933972922,0.20715082156309333,0.23038653933972922,0.18057734829521138,0.31927768095558406
Hybrid,3,interest,100,120,132.31548833847046,5,21048,20,0.001,False,multi,0.29585007338103103,0.3365105105454679,0.2072995337333324,0.3365105105454679,0.19744890763595224,0.29585007338103103
Hybrid,3,effort,100,120,110.1467752456665,5,21048,20,0.001,False,multi,0.24797275347031125,0.2163285877375722,0.1362917029213379,0.2163285877375722,0.13066486311236034,0.24797275347031125
Hybrid,6,attention,100,120,143.90043139457703,3,23146,20,0.001,False,multi,0.4914981691838681,0.3580051780872167,0.32892487283905625,0.3580051780872167,0.27988693650092705,0.4914981691838681
Hybrid,6,interest,100,120,131.3725724220276,3,23146,20,0.001,False,multi,0.49884686374369636,0.3329730890710131,0.24871695618686554,0.3329730890710131,0.2257915996679368,0.49884686374369636
Hybrid,6,effort,100,120,170.28133153915405,5,23146,20,0.001,False,multi,0.3677946655525363,0.36274058142880133,0.26393242915795667,0.36274058142880133,0.25778585155190215,0.3677946655525363
Hybrid,7,attention,100,120,115.62652826309204,4,22696,20,0.001,False,multi,0.5078605839475405,0.41395055164269123,0.3946515821299112,0.41395055164269123,0.363871747111944,0.5078605839475405
Hybrid,7,interest,100,120,110.43614435195923,4,22696,20,0.001,False,multi,0.5638105556583818,0.44697040363782264,0.4525787469252198,0.44697040363782264,0.3850345341163027,0.5638105556583818
Hybrid,7,effort,100,120,158.28078389167786,4,22696,20,0.001,False,multi,0.47581789356891013,0.3395073264739391,0.29205881271289125,0.30449258242868893,0.2190906221336025,0.47581789356891013
Hybrid,8,attention,100,120,176.95850372314453,5,31743,20,0.001,False,multi,0.40409962096950486,0.25442209459940374,0.1572101065067524,0.25442209459940374,0.17646748878189975,0.40409962096950486
Hybrid,8,interest,100,120,168.35812759399414,5,31743,20,0.001,False,multi,0.31193759357837497,0.2860221753582338,0.1725036038761911,0.24726234251654255,0.16864842006235262,0.31193759357837497
Hybrid,8,effort,100,120,196.02127289772034,5,31743,20,0.001,False,multi,0.31831737591548287,0.21382808072889253,0.14356515464299258,0.18561806851888035,0.14527050296937802,0.31831737591548287
Hybrid,9,attention,100,120,197.73024702072144,5,34879,20,0.001,False,multi,0.29455726571208507,0.2570208275135482,0.15205027258329665,0.2570208275135482,0.1506825509245487,0.29455726571208507
Hybrid,9,interest,100,120,188.20051193237305,5,34879,20,0.001,False,multi,0.2524975015958378,0.237715558019145,0.12813327875852423,0.23007389135247833,0.13181736683173156,0.2524975015958378
Hybrid,9,effort,100,120,191.4521143436432,5,34879,20,0.001,False,multi,0.45647881363233955,0.24352458572465358,0.16890647476354542,0.24352458572465358,0.17176457160068,0.45647881363233944
Hybrid,10,attention,100,120,29.137168884277344,4,4620,20,0.001,False,multi,0.2730865195039372,0.29530152882320065,0.23525367405802192,0.20144551011424078,0.16618706698184688,0.2730865195039372
Hybrid,10,interest,100,120,27.639079809188843,4,4620,20,0.001,False,multi,0.29807279763012834,0.2284027892804395,0.1624751984126984,0.15057300817444869,0.1431950822020241,0.29807279763012834
Hybrid,10,effort,100,120,43.918489933013916,4,4620,20,0.001,False,multi,0.33544158204887936,0.3387943722943723,0.2196378087368076,0.23975252525252527,0.19789349616309132,0.33544158204887936
Hybrid,11,attention,100,120,64.88055539131165,5,10283,20,0.001,False,multi,0.2324517086289238,0.2314501808603442,0.13773477906616324,0.17006678795426527,0.11602828304231257,0.2324517086289238
Hybrid,11,interest,100,120,77.82246160507202,5,10283,20,0.001,False,multi,0.24642383776560992,0.27968000296797485,0.17849251776190855,0.19018367169376826,0.1534446133183603,0.24642383776560992
Hybrid,11,effort,100,120,74.18535995483398,5,10283,20,0.001,False,multi,0.38975084442879737,0.2772453884987603,0.19953342091137666,0.2450359856083975,0.18504411484733824,0.38975084442879737
Hybrid,12,attention,100,120,11.38890266418457,2,1606,20,0.001,False,multi,0.7214661654135338,0.5813387423935091,0.4735736399823088,0.5813387423935091,0.5121656423763535,0.7214661654135338
Hybrid,12,interest,100,120,10.285386562347412,4,1606,20,0.001,False,multi,0.32048872180451127,0.3137254901960784,0.19061147186147187,0.2193627450980392,0.1753063725490196,0.32048872180451127
Hybrid,12,effort,100,120,7.224856853485107,4,1606,20,0.001,False,multi,0.12222222222222223,0.14444444444444446,0.20531400966183574,0.08703703703703704,0.09440267335004178,0.12222222222222223
Hybrid,17,attention,100,120,101.24307084083557,3,14842,20,0.001,False,multi,0.5142754311329016,0.3735531474909333,0.35667968033396147,0.3735531474909333,0.32107016827291024,0.5142754311329016
Hybrid,17,interest,100,120,144.64769625663757,3,14842,20,0.001,False,multi,0.7009544255394924,0.5401100038273446,0.583256043428947,0.5401100038273446,0.522225883292226,0.7009544255394924
Hybrid,17,effort,100,120,88.7635886669159,3,14842,20,0.001,False,multi,0.5638195618147203,0.4153448541326041,0.28095851422683776,0.38658668419796355,0.288673139862801,0.5638195618147203
Hybrid,18,attention,100,120,126.17134356498718,5,23949,20,0.001,False,multi,0.3942531468359635,0.3112098709580541,0.16984097189717548,0.28256258787763144,0.19844431841135876,0.3942531468359635
Hybrid,18,interest,100,120,100.48209071159363,5,23949,20,0.001,False,multi,0.3837926086485542,0.32887403176093105,0.2379551843632871,0.3036054160687771,0.222876235013503,0.3837926086485542
Hybrid,18,effort,100,120,153.59228897094727,3,23949,20,0.001,False,multi,0.6232525968099021,0.424303831509439,0.2662018201491828,0.3474247765618482,0.2832624527423641,0.6232525968099021
Hybrid,19,attention,100,120,38.786919593811035,4,6500,20,0.001,False,multi,0.6030753968253968,0.4131944444444444,0.24978505291005293,0.3726851851851852,0.2905978661283236,0.6030753968253968
Hybrid,19,interest,100,120,82.29203200340271,5,6500,20,0.001,False,multi,0.6515652557319224,0.5672546226467795,0.4110006186225698,0.46786736774481874,0.4222743177133565,0.6515652557319224
Hybrid,19,effort,100,120,47.854870319366455,3,6500,20,0.001,False,multi,0.6285433146489252,0.39906103286384975,0.2719973838266521,0.39906103286384975,0.31602001467757584,0.6285433146489252
Hybrid,20,attention,100,120,104.63038396835327,5,20551,20,0.001,False,multi,0.4270140411611065,0.24943117188725136,0.26394280817719445,0.24943117188725136,0.15889885165836132,0.4270140411611065
