user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
1,attention,2,120,0.6746814250946045,5,683,0.2760221180758701,0.24823134106222342,0.26391867554690995,0.24240619773708008,0.16573948504640024,0.2760221180758701
1,interest,2,120,0.5229692459106445,5,683,0.2194656781964892,0.3039819376026272,0.09367095666176702,0.27907772304324024,0.12819354272368869,0.2194656781964892
1,effort,2,120,0.7710607051849365,5,683,0.31384104773128974,0.24633965529571414,0.20069802537887646,0.24633965529571414,0.17571855326408653,0.31384104773128974
2,attention,2,120,1.1201856136322021,4,1262,0.2596412845496653,0.26637444930546744,0.26707785420634206,0.26637444930546744,0.20506171653614136,0.2596412845496653
2,interest,2,120,0.8465800285339355,5,1262,0.3542713428214066,0.36865508684219583,0.26479961896704035,0.36865508684219583,0.2831537608923386,0.3542713428214066
2,effort,2,120,1.0974793434143066,5,1262,0.18942924926367638,0.2177933871548302,0.19185862657482683,0.2177933871548302,0.12690750855963115,0.18942924926367638
3,attention,2,120,1.0198922157287598,5,1174,0.2727021290690801,0.22938298835573534,0.16152927425126423,0.22938298835573534,0.15107562796589952,0.2727021290690801
3,interest,2,120,1.0334432125091553,5,1174,0.2666564350450478,0.2719459554000903,0.1667094677069383,0.2719459554000903,0.19081876943116258,0.2666564350450478
3,effort,2,120,1.2927370071411133,5,1174,0.23874009483479078,0.2181072938653072,0.1675324018067719,0.2181072938653072,0.12150701831672708,0.23874009483479078
6,attention,2,120,1.5263104438781738,3,1391,0.5015931075130753,0.3377001287238851,0.29266120096035897,0.3377001287238851,0.2509593482334239,0.5015931075130753
6,interest,2,120,1.5239338874816895,3,1391,0.4526724626696936,0.3197354075087634,0.2589484202978293,0.3197354075087634,0.2315158359431319,0.4526724626696936
6,effort,2,120,1.525170087814331,5,1391,0.28868538778616404,0.2928660407493269,0.28113819826447206,0.2928660407493269,0.21568800956707362,0.28868538778616404
7,attention,2,120,1.2396862506866455,4,1416,0.4169823101888319,0.39559023876668975,0.39586683831166003,0.39559023876668975,0.31429576348732835,0.416982310188832
7,interest,2,120,1.2402215003967285,4,1416,0.5169670895214373,0.40925784805425997,0.3866709012225563,0.40925784805425997,0.341911192008527,0.5169670895214373
7,effort,2,120,1.5509085655212402,4,1416,0.47563788539077867,0.3630512044866066,0.36673790625426733,0.3630512044866066,0.27232882407144954,0.47563788539077867
