model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,78.73993515968323,5,16227,30,0.01,False,multi,0.36169656498741937,0.2477861974252756,0.16494544197499358,0.23089430553338372,0.16342058340203178,0.36169656498741937
Hybrid,1,interest,100,120,73.78954839706421,5,16227,30,0.01,False,multi,0.3759932031004985,0.3073094559117536,0.13347376677137174,0.24947867003365418,0.16246575403303362,0.3759932031004985
Hybrid,1,effort,100,120,89.40466523170471,5,16227,30,0.01,False,multi,0.32253160036268047,0.24341097373037973,0.2645575567955162,0.24341097373037973,0.18764743141333828,0.3225316003626805
Hybrid,2,attention,100,120,150.39090275764465,4,32176,30,0.01,False,multi,0.30874453825830556,0.3881022318609028,0.3614363366424666,0.3881022318609028,0.23565060846279684,0.30874453825830556
Hybrid,2,interest,100,120,171.5493505001068,5,32176,30,0.01,False,multi,0.46876384643491614,0.39239959722827467,0.33888329018013585,0.3493407695571052,0.32710679439893536,0.46876384643491614
Hybrid,2,effort,100,120,164.76298022270203,5,32176,30,0.01,False,multi,0.30044652417391843,0.21981889301481808,0.2288804364183498,0.20999711083660025,0.12692320214687677,0.30044652417391843
Hybrid,3,attention,100,120,228.3864300251007,5,31508,30,0.01,False,multi,0.3155734294421003,0.2562339453862946,0.1919193292387527,0.2562339453862946,0.18600824437211833,0.3155734294421003
Hybrid,3,interest,100,120,192.82300281524658,5,31508,30,0.01,False,multi,0.3190718000264987,0.3115127575150261,0.23582750615621687,0.29710036398487416,0.2120418458007673,0.3190718000264987
Hybrid,3,effort,100,120,158.74887466430664,5,31508,30,0.01,False,multi,0.26839063041439903,0.21005336970443342,0.17548897943636002,0.21005336970443342,0.13239675313589977,0.26839063041439903
Hybrid,6,attention,100,120,213.3366596698761,3,34596,30,0.01,False,multi,0.3830780106507985,0.4166448698161405,0.2873085236865879,0.4166448698161405,0.2696617777099988,0.3830780106507985
Hybrid,6,interest,100,120,211.30490016937256,3,34596,30,0.01,False,multi,0.5057172210923387,0.34293825233274544,0.24807125814247155,0.34293825233274544,0.24589358980261924,0.5057172210923387
Hybrid,6,effort,100,120,223.2095274925232,5,34596,30,0.01,False,multi,0.36667477509540175,0.31932929032123847,0.23837126272100964,0.31932929032123847,0.23483771559986227,0.36667477509540175
Hybrid,7,attention,100,120,206.71099638938904,4,33896,30,0.01,False,multi,0.5018461007591443,0.40669424020616474,0.42859989541329147,0.40669424020616474,0.35712414464248565,0.5018461007591443
Hybrid,7,interest,100,120,157.6849536895752,4,33896,30,0.01,False,multi,0.54057649084823,0.4350947655598243,0.4532534526845814,0.4350947655598243,0.4064402329506219,0.54057649084823
Hybrid,7,effort,100,120,233.27872228622437,4,33896,30,0.01,False,multi,0.4819933014474772,0.33321520480734945,0.24538811525392368,0.3166449221844598,0.2356800651034102,0.4819933014474772
Hybrid,8,attention,100,120,238.10684514045715,5,47493,30,0.01,False,multi,0.37490131626229123,0.23189146680521705,0.13759742415829299,0.21906466941959613,0.15677179897677332,0.37490131626229123
Hybrid,8,interest,100,120,259.71423745155334,5,47493,30,0.01,False,multi,0.3342847335378461,0.3216540821528363,0.2429377084600489,0.27874548534490323,0.2132773902264225,0.3342847335378461
Hybrid,8,effort,100,120,237.5458676815033,5,47493,30,0.01,False,multi,0.2525685158696266,0.1437138719962229,0.0787000359679207,0.1437138719962229,0.08852123404806433,0.2525685158696266
Hybrid,9,attention,100,120,293.31880283355713,5,52149,30,0.01,False,multi,0.2753857300585377,0.24978245289755402,0.20375001232915904,0.24978245289755402,0.16021883158178654,0.2753857300585377
