model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,30.830137491226196,2,683,,,False,binary,0.8728435376724414,0.613119673156619,0.471133705871969,0.4932217139729455,0.4750542322246261,0.8728435376724414
Hybrid,1,interest,100,120,31.725138425827026,2,683,,,False,binary,0.8580684309426871,0.7420498084291187,0.7292831993772854,0.7420498084291187,0.7292803239454274,0.8580684309426871
Hybrid,1,effort,100,120,27.860515356063843,2,683,,,False,binary,0.7142939980303724,0.5104975736628962,0.5152119140697496,0.5104975736628962,0.47392881845012835,0.7142939980303724
Hybrid,2,attention,100,120,77.93806004524231,2,1262,,,False,binary,1.0,1.0,1.0,1.0,1.0,1.0
Hybrid,2,interest,100,120,45.061500787734985,2,1262,,,False,binary,0.9834494773519163,0.875,0.8667247386759582,0.875,0.8707207207207207,0.9834494773519163
Hybrid,2,effort,100,120,45.04316782951355,2,1262,,,False,binary,0.48831541480059626,0.4962001200172841,0.5037372037330853,0.4962001200172841,0.4356015294889536,0.48831541480059626
Hybrid,3,attention,100,120,63.890697956085205,2,1174,,,False,binary,0.8739313314070813,0.4985221674876847,0.4377619708476718,0.4985221674876847,0.4649952352384458,0.8739313314070813
Hybrid,3,interest,100,120,54.49336767196655,2,1174,,,False,binary,0.8386936584011089,0.5006598883572568,0.5401906101878957,0.5006598883572568,0.45960133200060993,0.8386936584011089
Hybrid,3,effort,100,120,53.504515647888184,2,1174,,,False,binary,0.6671154439042786,0.4991355252773687,0.5069191022492057,0.4991355252773687,0.42123704961507363,0.6671154439042786
Hybrid,6,attention,100,120,93.27598118782043,2,1391,,,False,binary,0.8032856407863516,0.5618482549749693,0.5052475866478778,0.5618482549749693,0.5116537553105667,0.8032856407863516
Hybrid,6,interest,100,120,53.85516619682312,2,1391,,,False,binary,0.5308526028084602,0.50656218320693,0.5177791262093276,0.50656218320693,0.4723458160485359,0.5308526028084602
