user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
1,attention,1000,120,44.67059087753296,5,683,0.20064629684884672,0.21382575757575759,0.05701224965505367,0.19943181818181818,0.08438306856388879,0.20064629684884672
1,interest,1000,120,26.22666072845459,5,683,0.15441293975298495,0.20787324591672418,0.05529051250584385,0.18368271221532093,0.0719216519559769,0.15441293975298495
1,effort,1000,120,55.47179913520813,5,683,0.38630535826981205,0.29205694667651183,0.14682538214268162,0.2795708820165342,0.18519528946779668,0.38630535826981205
2,attention,1000,120,79.19584083557129,4,1262,0.23735229596483978,0.20465519752423192,0.13218177663511177,0.1898403827094171,0.14629090708483738,0.23735229596483978
2,interest,1000,120,49.41792154312134,5,1262,0.3199005881100712,0.33562122728789395,0.25174715774839984,0.30977246185579516,0.255151475537382,0.31990058811007116
2,effort,1000,120,79.15728282928467,5,1262,0.2479856819398542,0.27676738753067853,0.10854822541566643,0.27676738753067853,0.13798022936334392,0.2479856819398542
3,attention,1000,120,85.59136199951172,5,1174,0.16037640901771336,0.19013650118046088,0.05446411312713795,0.19013650118046088,0.06970871099131969,0.16037640901771336
3,interest,1000,120,99.74088454246521,5,1174,0.2395698849217269,0.2688159198833356,0.1269316314907572,0.2688159198833356,0.1538120403847426,0.2395698849217269
3,effort,1000,120,119.67036747932434,5,1174,0.2754850983000061,0.2127959997427487,0.0899708099024206,0.2127959997427487,0.11324457261093726,0.2754850983000061
6,attention,1000,120,84.44226884841919,3,1391,0.4483861795804451,0.4440362981831008,0.28615281562655437,0.4440362981831008,0.3240039135623828,0.4483861795804451
6,interest,1000,120,106.17874932289124,3,1391,0.31421288956114957,0.3865339803702975,0.16663235934649556,0.3865339803702975,0.20976693874648705,0.31421288956114957
6,effort,1000,120,90.90641570091248,5,1391,0.16033562024213294,0.207395611771202,0.1361308993555222,0.20459991284647083,0.10883630070557208,0.16033562024213294
7,attention,1000,120,61.78101921081543,4,1416,0.391195893098067,0.3310359706585053,0.2925166436067599,0.3216664821223501,0.27998798132536257,0.391195893098067
7,interest,1000,120,82.02666687965393,4,1416,0.5672874648418127,0.4559114424832623,0.321157583560266,0.4559114424832623,0.3684070079792727,0.5672874648418127
7,effort,1000,120,120.64028143882751,4,1416,0.34697347020306046,0.2428682819345213,0.18122953633572328,0.2358222114738167,0.19360350642466698,0.34697347020306046
8,attention,1000,120,78.56024241447449,5,1818,0.24439516731216746,0.1976190476190476,0.06529983239716228,0.1976190476190476,0.09606239496750223,0.24439516731216746
8,interest,1000,120,65.34540295600891,5,1818,0.19493014775015746,0.15489805574164336,0.15703670561813524,0.14987243263425926,0.11232512501904679,0.19493014775015746
8,effort,1000,120,145.94934844970703,5,1818,0.21842116356766045,0.2024249460351494,0.09439301826309215,0.18575827936848274,0.11365458377328382,0.21842116356766045
9,attention,1000,120,198.28935027122498,5,2066,0.31589123873968505,0.22108092564034107,0.12654286048739508,0.22108092564034107,0.146103966218712,0.3158912387396851
9,interest,1000,120,181.25551319122314,5,2066,0.26751917088053684,0.23573244147157188,0.08939006642853382,0.23573244147157188,0.121523207076676,0.26751917088053684
9,effort,1000,120,125.68829274177551,5,2066,0.3639923343868953,0.2157774441037506,0.13268026827418478,0.2072680544323891,0.15228462039838836,0.3639923343868953
10,attention,1000,120,14.733814001083374,4,288,0.3409379512144758,0.3958333333333333,0.18979164914641325,0.3333333333333333,0.22401209677419354,0.3409379512144758
10,interest,1000,120,18.952269077301025,4,288,0.007462686567164179,0.0625,0.0026041666666666665,0.0625,0.004999999999999999,0.007462686567164179
10,effort,1000,120,17.28059220314026,4,288,0.0603448275862069,0.0625,0.019886363636363636,0.0625,0.03017241379310345,0.0603448275862069
11,attention,1000,120,35.19654202461243,5,669,0.12395104895104894,0.10729949874686717,0.09935183213871739,0.09479949874686718,0.07989188099482217,0.12395104895104894
11,interest,1000,120,34.67470836639404,5,669,0.09325484641940336,0.06913959613696226,0.06734417344173442,0.05541410594088383,0.05824298743761832,0.09325484641940336
11,effort,1000,120,22.8445725440979,5,669,0.20192939001667742,0.24131461173795274,0.09864409524008337,0.24131461173795274,0.13183062903714346,0.20192939001667742
12,attention,1000,120,5.978815078735352,2,86,0.6668045112781955,0.5,0.4334022556390977,0.5,0.4618357487922705,0.6668045112781955
12,interest,1000,120,3.202479362487793,4,86,0.869674185463659,0.6666666666666666,0.5634920634920635,0.611111111111111,0.5833333333333334,0.869674185463659
12,effort,1000,120,2.9840354919433594,4,86,0.125,0.16666666666666666,0.0625,0.16666666666666666,0.0909090909090909,0.125
17,attention,1000,120,53.410300970077515,3,858,0.421942332242775,0.29763606371241574,0.22241100869310843,0.29763606371241574,0.2124407238790625,0.421942332242775
