model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
RF,cross,attention,,,526.1810736656189,2,2560509,,,False,binary,0.6077041425492858,0.46135409008759254,0.43379003192266863,0.46135409008759254,0.433116613716053,0.6077041425492858
RF,cross,interest,,,537.8003189563751,2,2560509,,,False,binary,0.6540719535911159,0.47909536976689554,0.3610325577338712,0.47909536976689554,0.407739067473627,0.654071953591116
RF,cross,effort,,,580.8659584522247,2,2560509,,,False,binary,0.5018302503222055,0.4873768431471369,0.4886543671267658,0.4873768431471369,0.4827074951809017,0.5018302503222055
NB,cross,attention,,,14.422626256942749,2,2560509,,,False,binary,0.4810086829542506,0.4255712268060634,0.36224181823914464,0.4255712268060634,0.339888788807512,0.4810086829542506
NB,cross,interest,,,14.526045560836792,2,2560509,,,False,binary,0.6153640338048498,0.4722218405409494,0.38966748820029184,0.4722218405409494,0.4131639674490598,0.6153640338048498
NB,cross,effort,,,14.298028230667114,2,2560509,,,False,binary,0.5780675195142566,0.5228510249666266,0.4973329851015185,0.5228510249666266,0.46826987006859433,0.5780675195142566
LGBM,cross,attention,,,44.15769720077515,2,2560509,,,False,binary,0.6505008965490158,0.479390625384329,0.4386761311901517,0.479390625384329,0.43563274538388164,0.6505008965490158
LGBM,cross,interest,,,44.94273233413696,2,2560509,,,False,binary,0.5541906620461782,0.42393014300993465,0.37888085025367985,0.42393014300993465,0.39384713039469926,0.5541906620461782
LGBM,cross,effort,,,43.076411962509155,2,2560509,,,False,binary,0.5283587931910396,0.5100795392362375,0.5152676746528131,0.5100795392362375,0.5102598396493636,0.5283587931910395
LDA,cross,attention,,,24.140607833862305,2,2560509,,,False,binary,0.5561893065194189,0.4191580012089703,0.4054552024219464,0.4191580012089703,0.39634424835356424,0.5561893065194189
LDA,cross,interest,,,23.773157119750977,2,2560509,,,False,binary,0.5614704147417087,0.44006121540421583,0.3974854609781466,0.44006121540421583,0.4089892028663182,0.5614704147417087
LDA,cross,effort,,,23.655754804611206,2,2560509,,,False,binary,0.553154555732136,0.49730889669353895,0.444792028442558,0.49730889669353895,0.4358678409295823,0.553154555732136
RF,1,attention,,,9.87943148612976,2,85991,,,False,binary,0.7998934382165628,0.5981858468356183,0.5009865982447658,0.5981858468356183,0.5366632199579084,0.7998934382165627
RF,1,interest,,,8.864036083221436,2,85991,,,False,binary,0.8246916490204578,0.7,0.6123458245102289,0.7,0.6435789056180071,0.8246916490204578
RF,1,effort,,,11.287871599197388,2,85991,,,False,binary,0.3488428884561088,0.27688041807754216,0.283902080664289,0.27688041807754216,0.25950006054107233,0.3488428884561088
RF,2,attention,,,6.901898384094238,2,155966,,,False,binary,0.991924898230456,0.9,0.8959624491152279,0.9,0.897939630320502,0.991924898230456
RF,2,interest,,,10.622246742248535,2,155966,,,False,binary,0.9485803557074834,0.8,0.7742901778537418,0.8,0.786028631071187,0.9485803557074834
RF,2,effort,,,19.096620559692383,2,155966,,,False,binary,0.5469245235095437,0.5440256371027956,0.41804144152215683,0.5440256371027956,0.43961568474088625,0.5469245235095437
RF,3,attention,,,14.789626121520996,2,145361,,,False,binary,0.7617625339574995,0.4384958082564651,0.42146083314945537,0.4384958082564651,0.4221107399533562,0.7617625339574995
RF,3,interest,,,16.994266986846924,2,145361,,,False,binary,0.797055585676609,0.4770709589662208,0.4193691714577958,0.4770709589662208,0.4423423531267292,0.7970555856766088
RF,3,effort,,,20.872196197509766,2,145361,,,False,binary,0.5251576426687052,0.5299575267057014,0.517253005842373,0.5299575267057014,0.49882507716553626,0.5251576426687052
RF,6,attention,,,21.698275089263916,2,171763,,,False,binary,0.7063204126482752,0.5117282821307112,0.4773327205856548,0.5117282821307112,0.4703960547857912,0.7063204126482752
