model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
RF,cross,attention,,,647.7858901023865,5,2560509,,,False,multi,0.21533862939881004,0.17457431549308547,0.15625744878972767,0.17457431549308547,0.13525414346056253,0.21533862939881004
RF,cross,interest,,,650.7336935997009,5,2560509,,,False,multi,0.2448843359205776,0.19923913624915984,0.15756311578776028,0.19923913624915984,0.16346831289586197,0.2448843359205776
RF,cross,effort,,,616.5922379493713,5,2560509,,,False,multi,0.26283128905723563,0.18092480742608164,0.16359821408190167,0.18092480742608164,0.14639206485196427,0.26283128905723563
NB,cross,attention,,,7.131371736526489,5,2560509,,,False,multi,0.2002663970979503,0.18009470432045221,0.09953956943973306,0.18009470432045221,0.10252673614391647,0.2002663970979503
NB,cross,interest,,,7.163513898849487,5,2560509,,,False,multi,0.18923949616336136,0.19408461658288859,0.11809432368652806,0.19408461658288859,0.11215947818433722,0.18923949616336136
NB,cross,effort,,,7.121986389160156,5,2560509,,,False,multi,0.24953625651235356,0.16694878231111393,0.13814355791766125,0.16694878231111393,0.13495839989065042,0.24953625651235356
SVM,cross,attention,,,11690.303504943848,5,2560509,,,False,multi,0.22903965508045446,0.19125985754280278,0.12891927036508405,0.19125985754280278,0.129899143736412,0.22903965508045446
SVM,cross,interest,,,11864.779983997345,5,2560509,,,False,multi,0.23258655052776941,0.19972285556523078,0.1485376325861974,0.19972285556523078,0.13604366096434098,0.23258655052776941
SVM,cross,effort,,,12299.626338720322,5,2560509,,,False,multi,0.2401095513044204,0.21299371259930253,0.14291029011305084,0.21299371259930253,0.1267389868897542,0.2401095513044204
LGBM,cross,attention,,,151.04005813598633,5,2560509,,,False,multi,0.19693520249128324,0.17285263237011578,0.15376914700470676,0.17285263237011578,0.14320074802402974,0.19693520249128324
LGBM,cross,interest,,,156.581933259964,5,2560509,,,False,multi,0.2544276014445461,0.19569433524021676,0.15792783614445483,0.19569433524021676,0.14967746138514898,0.2544276014445461
LGBM,cross,effort,,,149.8870131969452,5,2560509,,,False,multi,0.31397517819854226,0.19835936079124844,0.13951496033601712,0.19835936079124844,0.14874714218053708,0.31397517819854226
LDA,cross,attention,,,15.933526754379272,5,2560509,,,False,multi,0.19040080850295277,0.1557846859904672,0.13064294246559371,0.1557846859904672,0.12980514132243365,0.19040080850295277
LDA,cross,interest,,,15.887566328048706,5,2560509,,,False,multi,0.22341966383703227,0.1858856946501815,0.12845814990549284,0.1858856946501815,0.13119759462307,0.22341966383703227
LDA,cross,effort,,,15.923575162887573,5,2560509,,,False,multi,0.32438524926256196,0.1835897525158376,0.12669138792798307,0.1835897525158376,0.12242326068095585,0.32438524926256196
