model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
deep,1,attention,100,120,40.54329442977905,2,683,,,False,binary,0.7473848015464121,0.5299451677222613,0.5001369904895218,0.46701999765423413,0.4708212180639307,0.7473848015464121
deep,1,interest,100,120,28.399380445480347,2,683,,,False,binary,0.47927929028667404,0.6019108280254777,0.4386842311305982,0.5509554140127388,0.4153289967918451,0.47927929028667404
deep,1,effort,100,120,58.12330508232117,2,683,,,False,binary,0.6620523308483799,0.4871212121212121,0.339920614923735,0.4871212121212121,0.3924542794981377,0.6620523308483799
deep,2,attention,100,120,47.216296434402466,2,1262,,,False,binary,1.0,1.0,1.0,1.0,1.0,1.0
deep,2,interest,100,120,58.07450294494629,2,1262,,,False,binary,0.9141001622834233,0.8056506849315068,0.7417247386759582,0.7153253424657534,0.7255914960686333,0.9141001622834233
deep,2,effort,100,120,82.37180614471436,2,1262,,,False,binary,0.583589481669093,0.6176188504157326,0.506292250704455,0.6176188504157326,0.5236821389785075,0.583589481669093
deep,3,attention,100,120,80.71444392204285,2,1174,,,False,binary,0.8761052444505596,0.5,0.4380526222252798,0.5,0.4657215382857608,0.8761052444505596
deep,3,interest,100,120,61.405425786972046,2,1174,,,False,binary,0.7490454096088384,0.45876359286646373,0.43691968282639715,0.45876359286646373,0.4437621354841064,0.7490454096088384
deep,3,effort,100,120,75.87912440299988,2,1174,,,False,binary,0.6325669410811472,0.5478260869565217,0.3792464335035366,0.5478260869565217,0.4386828357783741,0.6325669410811472
deep,6,attention,100,120,80.76069712638855,2,1391,,,False,binary,0.8041820092758876,0.691990890555946,0.5935083037055413,0.691990890555946,0.6249847381370831,0.8041820092758876
deep,6,interest,100,120,85.20885992050171,2,1391,,,False,binary,0.5179148313128267,0.5539345580522645,0.43674978571403444,0.5539345580522645,0.43645260536094516,0.5179148313128267
deep,6,effort,100,120,93.78306245803833,2,1391,,,False,binary,0.46130359065619986,0.43758605608438383,0.33965541562909607,0.43758605608438383,0.31994693672362473,0.46130359065619986
deep,7,attention,100,120,58.462498903274536,2,1416,,,False,binary,0.5743062609910435,0.5767524432744877,0.5172422921541551,0.5767524432744877,0.5093250514184877,0.5743062609910435
deep,7,interest,100,120,53.681336879730225,2,1416,,,False,binary,0.9567740817740819,0.75,0.7283870408870409,0.75,0.7386170011359334,0.9567740817740819
deep,7,effort,100,120,131.09195494651794,2,1416,,,False,binary,0.5602644998578686,0.4850463389802755,0.3705548546888203,0.4850463389802755,0.4121598142961475,0.5602644998578685
deep,8,attention,100,120,126.917635679245,2,1818,,,False,binary,0.6686817842210043,0.4980835047531037,0.4097661683436112,0.4980835047531037,0.4194315450023831,0.6686817842210043
deep,8,interest,100,120,116.63810563087463,2,1818,,,False,binary,0.5488825341346925,0.500721927344026,0.41362259423151804,0.500721927344026,0.39384017403082744,0.5488825341346925
deep,8,effort,100,120,133.5944402217865,2,1818,,,False,binary,0.3276309514346316,0.33315145073369784,0.3495911088593033,0.33315145073369784,0.3009320512336703,0.3276309514346316
deep,9,attention,100,120,141.520977973938,2,2066,,,False,binary,0.6718822056352731,0.48941441441441447,0.3448793746591342,0.48941441441441447,0.38298005948362024,0.6718822056352731
deep,9,interest,100,120,145.6273477077484,2,2066,,,False,binary,0.7127806654846589,0.5,0.35639033274232945,0.5,0.4054208053381273,0.7127806654846588
deep,9,effort,100,120,146.86432933807373,2,2066,,,False,binary,0.6140586069046341,0.49093267490847053,0.40592581243682024,0.49093267490847053,0.41127670228765734,0.6140586069046341
deep,10,attention,100,120,19.30130362510681,2,288,,,False,binary,0.47583878636374777,0.4593051066580479,0.45319264069264065,0.4593051066580479,0.42469179760353415,0.47583878636374777
deep,10,interest,100,120,14.937921524047852,2,288,,,False,binary,0.44096446287585234,0.4550509296846593,0.5454545454545454,0.3917750676156938,0.384695755770623,0.44096446287585234
deep,10,effort,100,120,17.688980102539062,2,288,,,False,binary,0.21726711271230056,0.3,0.10863355635615028,0.3,0.15781874039938557,0.21726711271230056
deep,11,attention,100,120,36.834009647369385,2,669,,,False,binary,0.44602570844288636,0.453125,0.36474012694871594,0.453125,0.369120181694685,0.44602570844288636
deep,11,interest,100,120,32.73118591308594,2,669,,,False,binary,0.6876891615541922,0.7405797101449275,0.6496174863387978,0.7405797101449275,0.6714246348856434,0.6876891615541922
deep,11,effort,100,120,38.661848068237305,2,669,,,False,binary,0.5918846468951308,0.4543181818181818,0.32167007430526423,0.4543181818181818,0.3735480377584185,0.5918846468951309
deep,12,attention,100,120,5.9901416301727295,2,86,,,False,binary,0.6668045112781955,0.5,0.4334022556390977,0.5,0.4618357487922705,0.6668045112781955
deep,12,interest,100,120,4.094643592834473,2,86,,,False,binary,0.4285714285714286,0.375,0.3392857142857143,0.375,0.35416666666666663,0.4285714285714286
deep,12,effort,100,120,3.0283780097961426,2,86,,,False,binary,0.26785714285714285,0.30952380952380953,0.22916666666666666,0.2380952380952381,0.19090909090909092,0.26785714285714285
deep,17,attention,100,120,54.82472777366638,2,858,,,False,binary,0.8477142880754359,0.4576470588235294,0.4596217545096121,0.4576470588235294,0.4544348731298526,0.8477142880754359
deep,17,interest,100,120,50.08814358711243,2,858,,,False,binary,0.9346822547906545,0.6,0.5673411273953273,0.6,0.5828794449713297,0.9346822547906545
deep,17,effort,100,120,49.93706274032593,2,858,,,False,binary,0.7846204334584366,0.7696381757122739,0.7308619912246699,0.7696381757122739,0.6881565813540835,0.7846204334584366
deep,18,attention,100,120,79.49558067321777,2,1434,,,False,binary,0.42356609534079964,0.3704257132797947,0.31296842290867766,0.3704257132797947,0.32303150388446294,0.42356609534079964
deep,18,interest,100,120,59.75137734413147,2,1434,,,False,binary,0.5261306813493822,0.44424739134312385,0.2961124036740559,0.44424739134312385,0.3477943543517903,0.5261306813493822
deep,18,effort,100,120,80.65340447425842,2,1434,,,False,binary,0.8044112304407216,0.578482905982906,0.6174097102625666,0.578482905982906,0.5611233358789767,0.8044112304407216
deep,19,attention,100,120,15.301639318466187,2,382,,,False,binary,0.5712522045855379,0.6376212522045855,0.5698260073260073,0.6067570546737213,0.499316626577912,0.5712522045855379
deep,19,interest,100,120,18.915401220321655,2,382,,,False,binary,0.8860119047619048,0.7646732026143791,0.7614659645909646,0.7646732026143791,0.7582416236033188,0.8860119047619048
