model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
deep,1,attention,100,120,37.39715909957886,5,683,,,False,multi,0.19594357740825397,0.2756858766233766,0.1213408500716108,0.26545860389610393,0.14515897994170215,0.19594357740825397
deep,1,interest,100,120,44.955517292022705,5,683,,,False,multi,0.36595443706496106,0.314318783068783,0.1324116276765313,0.29823908730158727,0.17880113398016212,0.36595443706496106
deep,1,effort,100,120,53.55526280403137,5,683,,,False,multi,0.30145758214747853,0.27962662337662336,0.100174378444126,0.27962662337662336,0.14031417354285938,0.30145758214747853
deep,2,attention,100,120,93.0250780582428,4,1262,,,False,multi,0.22586098946745375,0.26909727095762004,0.2886911267977916,0.24569552696764074,0.19734422070860047,0.22586098946745375
deep,2,interest,100,120,73.12239480018616,5,1262,,,False,multi,0.23759451311000712,0.22517633228840123,0.1290402658113393,0.21494905956112853,0.15531445562793758,0.23759451311000712
deep,2,effort,100,120,105.38257026672363,5,1262,,,False,multi,0.2081431074964571,0.2069885715582708,0.1473582010790199,0.20066704110014025,0.12662232206352073,0.2081431074964571
deep,3,attention,100,120,94.46990013122559,5,1174,,,False,multi,0.25912321770725044,0.23955186634539255,0.1184847463126705,0.23955186634539255,0.1351708812749774,0.25912321770725044
deep,3,interest,100,120,82.44199323654175,5,1174,,,False,multi,0.1664015331029984,0.24510244594115563,0.05269338118344731,0.24510244594115563,0.0810431993421474,0.1664015331029984
deep,3,effort,100,120,99.34204030036926,5,1174,,,False,multi,0.18982028017285307,0.1921177050090531,0.08080035796937719,0.1921177050090531,0.1025944469883778,0.18982028017285307
deep,6,attention,100,120,120.95461416244507,3,1391,,,False,multi,0.4065945921150707,0.47144868837119286,0.3078659287063257,0.47144868837119286,0.32159471929911687,0.4065945921150707
deep,6,interest,100,120,99.93702840805054,3,1391,,,False,multi,0.40057741293133214,0.3427428513318859,0.23380028723965313,0.3427428513318859,0.23753527918605738,0.40057741293133214
deep,6,effort,100,120,109.71389842033386,5,1391,,,False,multi,0.21776568876148059,0.20232909807257715,0.1307139796028423,0.19286691319862756,0.11598755587402813,0.21776568876148059
deep,7,attention,100,120,68.311199426651,4,1416,,,False,multi,0.269192394735873,0.30774291774710505,0.20752668461777873,0.29394421644840374,0.22285732025411592,0.269192394735873
deep,7,interest,100,120,100.82209134101868,4,1416,,,False,multi,0.44671698095611145,0.3386274867630645,0.2352290988918896,0.3386274867630645,0.26937192038846747,0.44671698095611145
deep,7,effort,100,120,100.57738757133484,4,1416,,,False,multi,0.3491465753289338,0.3200513801916088,0.21055559977804345,0.3002427046184602,0.22305445720798872,0.3491465753289338
deep,8,attention,100,120,124.91023349761963,5,1818,,,False,multi,0.17535731342527436,0.13562035770018963,0.07801526262405208,0.13562035770018963,0.08771632580207478,0.17535731342527436
deep,8,interest,100,120,181.93657302856445,5,1818,,,False,multi,0.3520505296693147,0.36406702765533083,0.22812099869876729,0.36406702765533083,0.24371050167522923,0.3520505296693147
deep,8,effort,100,120,131.95129251480103,5,1818,,,False,multi,0.10658331172840332,0.10012644836729505,0.04078506611820957,0.10012644836729505,0.056394406391696614,0.10658331172840332
deep,9,attention,100,120,151.47631359100342,5,2066,,,False,multi,0.26087817776202427,0.21872176081262767,0.09957255297016498,0.21872176081262767,0.13061852951297975,0.26087817776202427
deep,9,interest,100,120,165.06313562393188,5,2066,,,False,multi,0.2531405061390175,0.22373326719843217,0.11234501324615458,0.22373326719843217,0.12704613277170362,0.2531405061390175
deep,9,effort,100,120,193.876384973526,5,2066,,,False,multi,0.31487824378251866,0.18932722118876782,0.1093620770286349,0.18613473292585703,0.1258457565938736,0.31487824378251866
deep,10,attention,100,120,18.087080478668213,4,288,,,False,multi,0.202494497432135,0.2,0.09748549323017408,0.16666666666666666,0.12120967741935484,0.202494497432135
deep,10,interest,100,120,23.85905432701111,4,288,,,False,multi,0.09781449893390193,0.13867595818815331,0.05601731601731602,0.10653310104529616,0.053997421018697624,0.09781449893390193
deep,10,effort,100,120,19.437851190567017,4,288,,,False,multi,0.11991765311374163,0.11666666666666665,0.039789687924016284,0.11666666666666665,0.05930276619931792,0.11991765311374165
deep,11,attention,100,120,48.13455009460449,5,669,,,False,multi,0.05300098674331803,0.06186234817813765,0.02327069172331068,0.046396761133603234,0.027240566037735846,0.05300098674331803
